date,location,vial,mel,non.mel,other,Z.indianus,total,fruit,method,season
6/22/2022,HPO,1,0,6,6,0,6,peaches,net,
6/23/2022,CM,1,0,20,20,0,20,peaches,asp,
6/23/2022,CM,2,0,1,1,0,1,peaches,asp,
6/23/2022,CM,3,0,21,21,0,21,peaches,net,
6/23/2022,CM,4,0,34,34,0,34,peaches,asp,
6/23/2022,CM,5,0,18,18,0,18,peaches,asp,
6/23/2022,CM,6,0,17,17,0,17,peaches,asp,
6/23/2022,CM,7,0,8,8,0,8,peaches,net,
6/24/2022,CM,1,0,32,32,0,32,peaches,asp/net,
7/6/2022,HPO,1,3,0,3,0,3,peaches,trap,
7/6/2022,HPO,2,2,4,6,0,6,peaches,net,
7/14/2022,CM,1,0,159,159,0,159,peaches,net,
7/14/2022,CM,2,0,33,33,0,33,peaches,net,
7/14/2022,CM,3,0,82,82,0,82,peaches,net,
7/22/2022,HPO,1,0,6,6,0,6,peaches,asp,
7/22/2022,HPO,2,0,6,6,2,8,peaches,asp,
7/22/2022,HPO,3,1,1,2,0,2,peaches,net,
7/22/2022,HPO,4,0,0,0,1,1,peaches,net,
7/22/2022,HPO,5,5,11,16,1,17,peaches,asp,
8/3/2022,HPO,1,0,1,1,1,2,peaches,net,
8/3/2022,HPO,2,0,2,2,0,2,peaches,asp,
8/3/2022,HPO,3,1,3,4,3,7,peaches,asp,
8/3/2022,HPO,4,3,4,7,4,11,peaches,asp,
8/17/2022,HPO,1,0,3,3,3,6,peaches,net,
8/17/2022,HPO,2,4,30,34,51,85,peaches,net,
8/17/2022,HPO,3,0,2,2,7,9,peaches,net,
8/17/2022,HPO,4,0,11,11,8,19,peaches,net,
8/17/2022,HPO,5,5,23,28,58,86,peaches,net,
8/17/2022,HPO,6,4,16,20,43,63,peaches,net,
8/17/2022,HPO,7,4,17,21,88,109,peaches,net,
8/17/2022,HPO,8,1,7,8,7,15,peaches,net,
8/17/2022,HPO,9,0,13,13,28,41,peaches,net,
8/17/2022,HPO,10,0,1,1,5,6,apples,net,
8/19/2022,CM,1,,51,51,53,104,peaches,net,
8/19/2022,CM,2,,46,46,13,59,peaches,net,
8/19/2022,CM,3,,49,49,33,82,peaches,net,
8/19/2022,CM,4,,95,95,11,106,peaches,net,
8/19/2022,CM,5,,44,44,36,80,peaches,net,
8/19/2022,CM,6,,74,74,22,96,peaches,net,
8/19/2022,CM,8,,58,58,10,68,peaches,net,
8/19/2022,CM,9,,76,76,29,105,peaches,net,
8/19/2022,CM,10,,91,91,27,118,peaches,net,
9/1/2022,HPO,1,0,0,0,1,1,apples,net,
9/1/2022,HPO,2,0,0,0,4,4,apples,net,
9/1/2022,HPO,3,0,1,1,5,6,apples,net,
9/1/2022,HPO,4,0,3,3,51,54,apples,net,
9/1/2022,HPO,5,0,0,0,3,3,apples,net,
9/1/2022,HPO,6,1,0,1,9,10,apples,net,
9/1/2022,HPO,7,0,0,0,8,8,apples,asp,
9/1/2022,HPO,8,0,1,1,17,18,apples,asp,
9/1/2022,HPO,9,0,2,2,2,4,apples,asp,
9/1/2022,HPO,10,0,0,0,12,12,apples,asp,
9/22/2022,HPO,1,0,1,1,15,16,apples,asp,
9/22/2022,HPO,2,0,1,1,11,12,apples,asp,
9/22/2022,HPO,3,1,5,6,5,11,apples,asp,
9/22/2022,HPO,4,0,1,1,8,9,apples,asp,
9/22/2022,HPO,5,0,8,8,10,18,apples,asp,
9/22/2022,HPO,6,0,1,1,5,6,apples,net,
9/22/2022,HPO,7,0,1,1,1,2,apples,net,
9/22/2022,HPO,8,0,1,1,8,9,apples,net,
9/22/2022,HPO,9,0,1,1,5,6,apples,net,
9/22/2022,HPO,10,0,0,0,24,24,apples,net,
9/30/2022,RAB,1,2,62,64,1,65,apples,net,lat
9/30/2022,RAB,2,1,59,60,7,67,apples,net,lat
9/30/2022,RAB,3,5,25,30,26,56,apples,net,lat
9/30/2022,RAB,4,2,16,18,12,30,apples,net,lat
9/30/2022,RAB,5,1,7,8,16,24,apples,net,lat
9/30/2022,RAB,6,3,25,28,30,58,apples,net,lat
9/30/2022,RAB,7,2,16,18,18,36,apples,net,lat
9/30/2022,RAB,8,3,124,127,2,129,apples,net,lat
9/30/2022,RAB,9,3,48,51,22,73,apples,net,lat
9/30/2022,RAB,10,4,104,108,12,120,apples,net,lat
9/30/2022,RAB,11,2,22,24,17,41,apples,net,lat
9/30/2022,HC,1,3,2,5,27,32,apples,net,lat
9/30/2022,HC,2,10,6,16,23,39,apples,net,lat
9/30/2022,HC,3,16,8,24,23,47,apples,net,lat
9/30/2022,HC,4,21,7,28,32,60,apples,net,lat
9/30/2022,HC,5,16,4,20,22,42,apples,net,lat
9/30/2022,HC,6,1,2,3,21,24,apples,net,lat
9/30/2022,HC,7,6,2,8,11,19,apples,net,lat
9/30/2022,HC,8,48,9,57,118,175,apples,net,lat
10/2/2022,FSP,1,17,22,39,1,40,bael,net,lat
10/2/2022,FSP,2,12,42,54,45,99,papaya,net,lat
10/2/2022,FSP,3,,75,75,29,104,papaya,net,lat
10/2/2022,FSP,4,7,65,72,4,76,breadfruit,net,lat
10/2/2022,FSP,5,74,35,109,140,249,hog plum,net,lat
10/2/2022,FSP,6,17,21,38,28,66,hog plum,net,lat
10/2/2022,FSP,7,,115,115,64,179,hog plum,net,lat
10/2/2022,FSP,8,42,11,53,49,102,sunsapote,net,lat
10/2/2022,FSP,9,6,187,193,5,198,avocado,net,lat
10/2/2022,FSP,10,,178,178,3,181,avocado,net,lat
10/2/2022,FSP,11,33,24,57,62,119,marula,net,lat
10/2/2022,FSP,12,,43,43,56,99,marula,net,lat
10/2/2022,FSP,13,43,45,88,52,140,starfruit,net,lat
10/2/2022,FSP,14,,178,178,63,241,starfruit,net,lat
10/2/2022,FSP,15,,211,211,83,294,starfruit,net,lat
10/6/2022,HPO,1,0,5,5,12,17,apples,asp,lat
10/6/2022,HPO,2,0,10,10,13,23,apples,net,lat
10/6/2022,HPO,3,0,7,7,8,15,apples,net,lat
10/6/2022,HPO,4,0,3,3,6,9,apples,net,lat
10/6/2022,HPO,5,0,7,7,16,23,apples,net,lat
10/6/2022,HPO,6,0,5,5,7,12,apples,net,lat
10/6/2022,HPO,7,0,8,8,6,14,apples,net,lat
10/6/2022,HPO,8,0,2,2,9,11,apples,net,lat
10/6/2022,HPO,9,0,9,9,21,30,apples,asp,lat
10/6/2022,HPO,10,0,7,7,15,22,apples,asp,lat
10/13/2022,Lyman,1,4,1,5,14,19,apples,asp,lat
10/13/2022,Lyman,2,3,3,6,10,16,apples,net,lat
10/13/2022,Lyman,3,0,6,6,19,25,apples,net,lat
10/13/2022,Lyman,4,43,5,48,69,117,apples,asp,lat
10/13/2022,Lyman,5,7,0,7,26,33,apples,asp,lat
10/13/2022,Lyman,6,30,3,33,71,104,apples,asp,lat
10/13/2022,Lyman,7,38,3,41,91,132,apples,asp,lat
10/14/2022,Linvilla,1,20,14,34,5,39,apples,asp,lat
10/14/2022,Linvilla,2,17,14,31,1,32,apples,asp,lat
10/14/2022,Linvilla,3,18,11,29,4,33,apples,asp,lat
10/14/2022,Linvilla,4,33,24,57,6,63,apples,asp,lat
10/14/2022,Linvilla,5,17,20,37,4,41,apples,asp,lat
10/14/2022,Linvilla,6,4,29,33,25,58,peaches,asp,lat
10/14/2022,Linvilla,7,2,14,16,34,50,peaches,asp,lat
10/14/2022,Linvilla,8,4,22,26,31,57,peaches,asp,lat
10/14/2022,Linvilla,9,1,73,74,55,129,peaches,asp,lat
10/14/2022,Linvilla,10,,21,21,53,74,peaches,asp,lat
10/14/2022,Linvilla,11,1,20,21,67,88,peaches,asp,lat
10/14/2022,Linvilla,12,0,60,60,44,104,peaches,asp,lat
10/14/2022,Linvilla,13,3,55,58,30,88,peaches,asp,lat
10/8/2022,RR,1,2,4,6,0,6,apples,net,lat
10/8/2022,RR,2,12,2,14,0,14,apples,net,lat
10/8/2022,Hansel,1,0,13,13,0,13,apples,net,lat
10/12/2022,Carver Hill,1,27,16,43,1,44,apples,net,lat
10/12/2022,Carver Hill,2,5,1,6,0,6,apples,net,lat
10/12/2022,Carver Hill,3,11,5,16,0,16,apples,net/asp,lat
10/12/2022,Carver Hill,4,21,14,35,3,38,apples,net,lat
10/12/2022,Carver Hill,5,24,25,49,0,49,apples,net,lat
10/12/2022,Carver Hill,6,11,22,33,4,37,peaches,net,lat
10/12/2022,Westward,1,45,40,85,1,86,compost,net,lat
10/12/2022,Westward,2,99,82,181,0,181,compost,net,lat
10/12/2022,Westward,3,91,36,127,0,127,compost,net,lat
10/12/2022,Westward,4,,95,95,1,96,compost,net,lat
10/12/2022,HPH,1,5,5,10,1,11,pears,net,lat
10/12/2022,HPH,2,2,2,4,0,4,apples,net,lat
10/12/2022,HPH,3,33,14,47,0,47,apples,net,lat
10/12/2022,HPH,4,15,8,23,0,23,apples,net,lat
10/12/2022,HPH,5,,12,12,0,12,pears,net,lat
10/12/2022,HPH,6,40,19,59,2,61,apples,net,lat
10/12/2022,HPH,7,,34,34,0,34,pears,net,lat
10/12/2022,HPH,8,54,24,78,1,79,apples,net,lat
10/12/2022,HPH,9,,13,13,0,13,apples,net,lat
10/12/2022,HPH,10,,18,18,1,19,apples,net,lat
10/12/2022,HPH,11,55,0,55,0,55,apples,net,lat
10/12/2022,HPH,12,,36,36,0,36,apples,net,lat
10/12/2022,HPH,13,,12,12,1,13,apples,net,lat
10/12/2022,HPH,14,,26,26,1,27,apples,net,lat
10/20/2022,HPO,1,0,0,0,10,10,apples,net,
10/20/2022,HPO,2,0,1,1,13,14,apples,net,
10/20/2022,HPO,3,0,0,0,15,15,apples,net,
10/20/2022,HPO,4,0,0,0,15,15,apples,asp,
10/20/2022,HPO,5,0,1,1,30,31,apples,asp,
10/20/2022,HPO,6,0,1,1,13,14,apples,asp,
10/20/2022,HPO,7,0,2,2,17,19,apples,net,
10/20/2022,HPO,8,1,1,2,7,9,apples,net,
10/20/2022,HPO,9,0,2,2,11,13,apples,net,
10/20/2022,HPO,10,0,0,0,17,17,apples,net,
10/20/2022,HPO,11,1,1,2,10,12,apples,asp,
11/9/2022,HPO,1,2,4,6,16,22,apples,net,
11/9/2022,HPO,2,2,6,8,40,48,apples,asp,
11/9/2022,HPO,3,1,1,2,12,14,apples,net,
11/9/2022,HPO,4,0,3,3,11,14,apples,net,
11/9/2022,HPO,5,1,2,3,29,32,apples,net,
11/9/2022,HPO,6,1,4,5,28,33,apples,net,
11/9/2022,HPO,7,1,3,4,31,35,apples,net,
11/9/2022,HPO,8,0,5,5,26,31,apples,asp,
11/9/2022,HPO,9,0,5,5,17,22,apples,asp,
11/9/2022,HPO,10,2,8,10,11,21,apples,asp,
11/9/2022,HPO,11,2,3,5,41,46,apples,net,
11/9/2022,HPO,12,3,4,7,33,40,apples,net,
11/17/2022,HPO,1,0,2,2,28,30,apples,asp,
11/17/2022,HPO,2,4,7,11,31,42,apples,asp,
11/17/2022,HPO,3,2,1,3,7,10,apples,asp,
11/17/2022,HPO,4,1,6,7,19,26,apples,asp,
11/17/2022,HPO,5,1,3,4,1,5,apples,net,
11/29/2022,HPO,1,9,14,23,1,24,apples,asp,
11/29/2022,HPO,2,6,13,19,3,22,apples,asp,
11/29/2022,HPO,3,7,12,19,4,23,apples,asp,
11/29/2022,HPO,4,3,10,13,2,15,apples,asp,
11/29/2022,HPO,5,5,7,12,3,15,apples,asp,
12/14/2022,HPO,1,11,17,28,0,28,apples,asp,
